creator_id,month,earnings,streaming_hours,viewer_count,region,policy_period,treated,control,active,month_str,group_label
1,2023-01-01,98.89473920628774,46.23250627032828,45.31693250553328,Asia,pre,1,0,1,2023-01,Treated
1,2023-02-01,90.076484255789,46.51342106582511,65.34869458305818,Asia,pre,1,0,1,2023-02,Treated
1,2023-03-01,87.7231099659313,41.330157206217976,40.73164614375075,Asia,pre,1,0,1,2023-03,Treated
1,2023-04-01,87.76055628957825,39.82716834611832,11.73439510684404,Asia,pre,1,0,1,2023-04,Treated
1,2023-05-01,75.16867550015048,35.805919342083286,29.743377593311525,Asia,pre,1,0,1,2023-05,Treated
1,2023-06-01,95.56032715123357,34.07723661068209,21.75392597329417,Asia,pre,1,0,1,2023-06,Treated
1,2023-07-01,117.781775665946,37.488475485855474,51.35056409375848,Asia,post,1,0,1,2023-07,Treated
1,2023-08-01,85.98740915946088,35.89544336566224,52.21845179419732,Asia,post,1,0,1,2023-08,Treated
1,2023-09-01,88.99870985616357,40.49584708001651,37.9872262016239,Asia,post,1,0,1,2023-09,Treated
1,2023-10-01,98.45100796008286,35.60882392714117,87.04556369017875,Asia,post,1,0,1,2023-10,Treated
1,2023-11-01,101.51116973569164,33.32880234350865,66.45089824206377,Asia,post,1,0,1,2023-11,Treated
1,2023-12-01,88.23035905812766,39.66167496331193,10.806597522404488,Asia,post,1,0,1,2023-12,Treated
2,2023-01-01,54.18001457749335,42.82545376464108,47.68703435223519,US,pre,0,0,1,2023-01,Control
2,2023-02-01,43.78431182164635,34.576002406854094,35.60311583210583,US,pre,0,0,1,2023-02,Control
2,2023-03-01,42.18896106794136,47.25422348978581,56.872365791369226,US,pre,0,0,1,2023-03,Control
2,2023-04-01,29.1649472239119,43.589032205665205,42.29835439167367,US,pre,0,0,0,2023-04,Control
2,2023-05-01,40.02612877447965,45.02699380289557,70.61999044991902,US,pre,0,0,1,2023-05,Control
2,2023-06-01,56.10814996870123,37.77252474257804,43.81575248297571,US,pre,0,0,1,2023-06,Control
